"","pais","anio","inflacion","gdp","unemp"
"318","St. Kitts and Nevis",2020,-1.16724501769354,-15.3018891740649,NA
"319","Korea, Rep.",2000,2.25916580080157,9.06083332508534,4.063
"320","Korea, Rep.",2010,2.93928652655687,6.80482491783671,3.324
"321","Korea, Rep.",2020,0.537288023411766,-0.709415359397681,3.931
"322","Kuwait",2000,NA,4.69458187079211,0.8
"323","Kuwait",2010,NA,-2.37054804702014,1.82
"324","Kuwait",2020,2.10172954827401,-4.81778982257279,3.557
"325","Lao PDR",2000,NA,5.79878232861959,2.046
"326","Lao PDR",2010,5.98254521550086,8.52690551739717,0.708
"327","Lao PDR",2020,5.10407262959923,0.503031829018681,2.361
"328","Lebanon",2000,NA,1.34187161970405,8.603
"329","Lebanon",2010,3.98347941855834,7.97513555844932,6.775
"330","Lebanon",2020,84.864333047204,-21.3998996914321,13.284
"331","Liberia",2000,NA,28.6159342546183,2.231
"332","Liberia",2010,7.28992796890218,6.09982524004147,2.266
"333","Liberia",2020,16.9557241496254,-2.98249127649473,4.109
"334","Libya",2000,NA,3.6792704082,19.201
"335","Libya",2010,NA,5.0272476723775,19.276
"336","Libya",2020,1.44703656998739,-29.4552967282824,19.613
"337","St. Lucia",2000,NA,0.0487485535201131,16.49
"338","St. Lucia",2010,3.25034409180129,0.330018546071486,17.12
"339","St. Lucia",2020,-1.75580833517593,-24.3614732129122,25.224
"340","Liechtenstein",2000,NA,3.22019308239609,NA
"341","Liechtenstein",2010,NA,NA,NA
"342","Liechtenstein",2020,NA,NA,NA
"343","Sri Lanka",2000,NA,6.00003315828934,7.74
"344","Sri Lanka",2010,NA,8.01596737040464,4.784
"345","Sri Lanka",2020,6.15394508391736,-4.62451503749502,5.364
"346","Lesotho",2000,NA,3.87554677576694,16.227
"347","Lesotho",2010,-2.40524254598709,5.26967078056286,16.113
"348","Lesotho",2020,4.97809676252311,-8.15595879914267,18.399
"349","Late-demographic dividend",2000,NA,7.03192177547119,5.28526433408884
"350","Late-demographic dividend",2010,3.48251329590442,8.03315940691593,5.23950660656473
"351","Late-demographic dividend",2020,1.93694126694221,0.303693779788787,5.91884442746147
"352","Lithuania",2000,0.981615478857585,3.41862206571636,15.931
"353","Lithuania",2010,1.31921362055464,0.427199566550769,17.814
"354","Lithuania",2020,1.19989444983568,0.0428158336981426,8.487
"355","Luxembourg",2000,3.15076707022592,6.93812976136098,2.345
"356","Luxembourg",2010,2.2736791162154,3.76041454320028,4.423
"357","Luxembourg",2020,0.819957302127018,-0.510051634039826,6.766
"358","Latvia",2000,2.65425477796047,5.84102642353959,14.211
"359","Latvia",2010,-1.08463595015159,-3.66125859554762,19.482
"360","Latvia",2020,0.219064904842114,-3.46922750780554,8.098
"361","Macao SAR, China",2000,-1.60971883961895,5.74659100533582,6.874
"362","Macao SAR, China",2010,2.80947242060845,25.1227881779164,2.84
"363","Macao SAR, China",2020,0.811410511491636,-54.3361062745857,2.566
"364","St. Martin (French part)",2000,NA,NA,NA
"365","St. Martin (French part)",2010,NA,NA,NA
"366","St. Martin (French part)",2020,NA,-12.500002246731,NA
"367","Morocco",2000,NA,2.58218091499747,13.58
"368","Morocco",2010,0.993557401226421,3.49955709403216,9.09
"369","Morocco",2020,0.705968661338224,-7.17820744246774,11.223
"370","Monaco",2000,NA,3.91022992758094,NA
"371","Monaco",2010,NA,2.06521962654098,NA
"372","Monaco",2020,NA,-13.2391048292108,NA
"373","Moldova",2000,31.2993015817785,2.10771608200733,8.539
"374","Moldova",2010,7.48385086350857,7.10000010705836,2.937
"375","Moldova",2020,3.76597122245358,-8.27597831976949,1.186
"376","Madagascar",2000,NA,4.45685893956946,5.8
"377","Madagascar",2010,9.24732173644116,0.619239744622121,4.28
"378","Madagascar",2020,4.20179312190558,-7.13767162064489,3.284
"379","Maldives",2000,-1.17475681175945,3.84581023205111,1.97
"380","Maldives",2010,6.14988536750175,6.78546790940871,10.881
"381","Maldives",2020,-1.36977425569811,-32.9088287284425,5.434
"382","Middle East, North Africa, Afghanistan & Pakistan",2000,NA,6.36845540673832,8.42365049272417
"383","Middle East, North Africa, Afghanistan & Pakistan",2010,3.54406845599084,4.80731428595524,6.85497900968114
"384","Middle East, North Africa, Afghanistan & Pakistan",2020,1.44703656998739,-3.30783118370476,9.21442251170227
"385","Mexico",2000,9.49156149435403,5.02928399378261,2.646
"386","Mexico",2010,4.15672722680173,4.97133457799899,5.303
"387","Mexico",2020,3.39683415570006,-8.35403456576364,4.44
"388","Marshall Islands",2000,NA,2.45443006851272,NA
"389","Marshall Islands",2010,NA,5.53918680023571,NA
"390","Marshall Islands",2020,NA,-2.77288732394366,NA
"391","North Macedonia",2000,NA,4.54913578288874,32.2
"392","North Macedonia",2010,1.50997522027621,3.35875085773812,33.135
"393","North Macedonia",2020,1.20007348888486,-4.68845000956652,16.575
"394","Mali",2000,NA,-0.0608349718130512,1.414
"395","Mali",2010,NA,6.92172188561173,1.405
"396","Mali",2020,0.438088940320735,-1.16907500952713,3.528
"397","Malta",2000,NA,19.6812692571544,6.324
"398","Malta",2010,1.51563513618533,6.1973451691119,6.847
"399","Malta",2020,0.638544956776647,-3.35834253154739,4.347
"400","Myanmar",2000,NA,13.7459305561226,0.717
"401","Myanmar",2010,NA,9.6344394520444,0.727
"402","Myanmar",2020,NA,-9.04834717984643,1.476
"403","Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2000,NA,5.7492054109486,8.72688772666045
"404","Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2010,3.91106195534029,4.83040654490945,7.12093020637766
"405","Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2020,2.41513094083414,-2.86087724971401,9.84929376390015
"406","Montenegro",2000,NA,3.10000005928039,30.609
"407","Montenegro",2010,NA,2.73433108233829,19.649
"408","Montenegro",2020,-0.255655699848511,-15.3068937570407,17.878
"409","Mongolia",2000,NA,1.14606213709108,5.993
"410","Mongolia",2010,10.0462065881651,6.3651616786311,6.549
"411","Mongolia",2020,3.7237230614026,-4.55775197583431,6.594
"412","Northern Mariana Islands",2000,NA,NA,NA
"413","Northern Mariana Islands",2010,NA,1.3959390862944,NA
"414","Northern Mariana Islands",2020,NA,-29.0598290598291,NA
"415","Mozambique",2000,NA,0.766234955773442,2.833
"416","Mozambique",2010,12.4255421735156,6.67972935662864,3.261
"417","Mozambique",2020,3.48393567493207,-1.21952250011192,3.921
"418","Mauritania",2000,NA,-3.91802585208993,10.033
"419","Mauritania",2010,NA,2.62022948104543,10.075
"420","Mauritania",2020,2.38569488456317,-0.360657384151068,11.054
"421","Mauritius",2000,NA,8.20279174865273,9.138
"422","Mauritius",2010,2.93236301369857,4.37720322344293,7.654
"423","Mauritius",2020,2.58080077182826,-14.5465381490166,8.626
"424","Malawi",2000,NA,1.57607762616895,5.048
"425","Malawi",2010,NA,6.87406585416142,4.798
"426","Malawi",2020,8.62551469650552,0.793596429787286,5.728
"427","Malaysia",2000,NA,8.85886816969386,3
"428","Malaysia",2010,1.62285235577035,7.42484738326097,3.39
"429","Malaysia",2020,-1.13870215393055,-5.45684658426701,4.54
"430","Namibia",2000,NA,3.49218336365178,20.3
"431","Namibia",2010,4.87491987643953,6.03924947955858,22.12
"432","Namibia",2020,2.20938236933471,-8.10140201443319,21.004
"433","New Caledonia",2000,NA,2.10010882688805,17.984
"434","New Caledonia",2010,NA,NA,13.95
"435","New Caledonia",2020,NA,-2.40000000064407,13.558
"436","Niger",2000,NA,-1.20847774100575,1.431
"437","Niger",2010,NA,8.57816674262253,0.722
"438","Niger",2020,2.89819376026277,3.55064109436891,0.594
"439","Nigeria",2000,NA,5.01593475931159,3.963
"440","Nigeria",2010,13.7400521363694,8.00565591628646,3.746
"441","Nigeria",2020,13.2460234276598,-1.79425308274458,5.742
"442","Nicaragua",2000,NA,4.10159025073438,7.162
"443","Nicaragua",2010,5.45513425887423,4.41009911716546,7.83
"444","Nicaragua",2020,3.68181341625574,-2.23654176262323,6.201
"445","Netherlands",2000,2.36052233801948,4.2197537762102,2.725
"446","Netherlands",2010,1.27530569556683,1.31932032302214,4.991
"447","Netherlands",2020,1.27246037789166,-3.86795333823223,3.82
"448","Norway",2000,3.08550609131276,3.31894570142394,3.458
"449","Norway",2010,2.41890639481001,0.787051861494078,3.527
"450","Norway",2020,1.28658490707998,-1.27817177234034,4.424
"451","Nepal",2000,2.47882020709132,6.19999998192236,10.551
"452","Nepal",2010,9.32650410745394,4.81641464694573,10.554
"453","Nepal",2020,5.05236655289212,-2.3696206292072,12.975
